App_Name,Rater,Messzeitpunkt,Unterhaltung,Interesse,Individuelle Anpassbarkeit,Interaktivität,Zielgruppe,SECTION A: Engagement,Leistung,Nutzerfreundlichkeit,Navigation,"Motorisches, gestisches Design",SECTION B: Funktionalität,Layout,Grafik,Visueller Anreiz,SECTION C: Ästhetik,Qualität der Information,Quantität der Information,Visuelle Information,Glaubwürdigkeit,SECTION D: Information,Bewusstsein,Wissen,Einstellung,Absicht zur Veränderung,Hilfe suchen,Verhaltensänderung,SECTION F: Wahrgenommene Wirkung der App
Water time - Wasser Trinken,27,1,4,4,3,4,4,3.8,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,3,3,3,3,3,3,3.0
Wassertracker: Trinkerinnerung,27,1,2,4,3,3,4,3.2,5,5,4,4,4.5,4,4,4,4.0,4,3,4,4,3.75,4,4,3,3,3,3,3.3333333333333335
WaterMinder®・Water Tracker,27,1,4,5,4,4,5,4.4,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,5,5,3,4,4,4,4.166666666666667
Plant Nanny Wasser Trinken App,27,1,5,5,4,5,5,4.8,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
"Wasser tracker, water - Dropy",27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,4,5,4.666666666666667,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
Waterdrop Hydration App,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Gerolsteiner TrinkCheck,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Sleep Recorder: Schlaf Analyse,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,3,3,3,4,3.25,3,3,3,3,3,3,3.0
Alarmy - Wecker und Schlaf,27,1,4,4,4,4,5,4.2,5,5,5,4,4.75,5,5,5,4.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
Sleep Cycle - Sleep Tracker,27,1,4,4,4,4,5,4.2,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
ShutEye - Schlaftracker,27,1,5,5,4,4,5,4.6,5,4,5,4,4.5,5,5,5,5.0,4,4,5,4,4.25,2,2,2,3,3,2,2.3333333333333335
SnoreLab.schnarchen aufnehmen,27,1,3,4,3,3,5,3.6,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.0,4,4,4,4,4,4,4.0
Prime Sleep Recorder,27,1,1,2,3,3,5,3.0,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,4,4,4,4,4,4,4.0
Sleepzy - Schlaftracker-Wecker,27,1,2,4,3,3,5,3.4,3,4,5,4,4.0,5,5,5,5.0,4,4,4,4,4.0,4,4,4,4,4,4,4.0
Sleep Talk Recorder,27,1,3,3,3,3,5,3.4,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,2,2,2,2,2,2,2.0
Do I Snore or Grind ,27,1,3,3,3,3,3,3.0,4,3,4,3,3.5,2,3,2,2.3333333333333335,2,2,3,3,2.5,1,1,1,1,1,1,1.0
Dream Talk Recorder,27,1,1,2,3,3,5,2.8,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,1,1,1,1,1,1,1.0
Headspace: Meditation & Schlaf,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,3,3,3,4,3.25,2,2,2,2,2,3,2.1666666666666665
"Fitness App-Gym Workout, Sport",27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,5,4,5,4,5,4,4.5
MyFitnessPal: Kalorien Tracker,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,4,4.666666666666667,4,4,5,3,4.0,5,4,5,4,5,4,4.5
Lifesum: Kalorien Zähler,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,5,5.0,4,5,5,3,4.25,5,4,5,4,5,4,4.5
Fddb - Kalorienzähler & Diät,27,1,4,5,4,4,4,4.2,4,5,4,4,4.25,4,4,3,4.0,4,3,4,4,3.75,4,4,4,4,4,4,4.0
YAZIO: Kalorien Zähler & Diät,27,1,4,5,4,4,5,4.4,4,4,4,4,4.0,4,5,4,4.333333333333333,4,3,4,4,3.75,5,5,5,5,5,5,5.0
adidas Running: Lauf App,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
Nike Run Club: Laufcoach,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
StepsApp Schrittzähler,27,1,4,4,4,3,5,4.0,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,5,4,5,4,5,4,4.5
Asics Runkeeper Lauf-Tracker,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,4,4.666666666666667,4,4,5,3,4.0,5,4,5,4,5,4,4.5
WeightWatchers,27,1,3,4,4,4,5,4.0,4,4,4,4,4.0,5,5,5,5.0,4,4,4,3,3.75,4,3,4,4,3,4,3.6666666666666665
Noom: Gesund Abnehmen,27,1,3,3,4,3,3,3.2,4,3,3,4,3.5,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
SIMPLE: dein Ernährungshelfer,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,5,4,4.333333333333333,4,3,4,4,3.75,4,4,4,4,4,4,4.0
Fastic Intervallfasten Tracker,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
Gymondo: Fitness & Workout App,27,1,5,5,5,5,5,5.0,5,5,4,5,4.75,5,5,5,5.0,4,4,5,4,4.25,5,5,5,4,4,4,4.5
Asana Rebel: Yoga und Fitness,27,1,4,4,3,4,3,3.6,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,3,3,3,3,3,3,3.0
"Carb Manager-Keto Diät, Fasten",27,1,2,4,3,3,4,3.2,5,5,4,4,4.5,4,4,4,4.0,4,3,4,4,3.75,4,4,3,3,3,3,3.3333333333333335
