App_Name,Rater,Messzeitpunkt,Unterhaltung,Interesse,Individuelle Anpassbarkeit,Interaktivität,Zielgruppe,SECTION A: Engagement,Leistung,Nutzerfreundlichkeit,Navigation,"Motorisches, gestisches Design",SECTION B: Funktionalität,Layout,Grafik,Visueller Anreiz,SECTION C: Ästhetik,Qualität der Information,Quantität der Information,Visuelle Information,Glaubwürdigkeit,SECTION D: Information,Bewusstsein,Wissen,Einstellung,Absicht zur Veränderung,Hilfe suchen,Verhaltensänderung,SECTION F: Wahrgenommene Wirkung der App
Water time - Wasser Trinken,30,1,3,3,4,5,4,3.8,5,4,4,3,4.0,4,4,4,4.0,3,3,4,0,2.5,3,2,3,3,3,4,3.0
Wassertracker: Trinkerinnerung,30,1,3,2,3,3,3,2.8,3,3,3,3,3.0,3,3,3,3.0,3,3,3,0,2.25,2,2,3,3,3,3,2.6666666666666665
WaterMinder®・Water Tracker,30,1,2,2,2,2,4,2.4,4,4,4,4,4.0,4,3,3,3.3333333333333335,2,3,4,0,2.25,1,1,1,1,1,2,1.1666666666666667
Plant Nanny Wasser Trinken App,30,1,3,2,2,2,1,2.0,3,1,1,2,1.75,2,3,2,2.3333333333333335,1,2,3,0,1.5,1,1,1,1,1,1,1.0
"Wasser tracker, water - Dropy",30,1,2,2,3,4,2,2.6,3,3,2,3,2.75,3,3,3,3.0,2,2,3,0,1.75,1,1,1,1,1,1,1.0
Waterdrop Hydration App,30,1,2,3,4,4,5,3.6,5,5,4,5,4.75,5,4,4,4.333333333333333,5,5,4,3,4.25,3,2,3,3,3,4,3.0
Gerolsteiner TrinkCheck,30,1,3,4,4,4,4,3.8,5,4,4,5,4.5,4,4,4,4.0,5,5,4,5,4.75,3,2,3,3,3,4,3.0
Sleep Recorder: Schlaf Analyse,30,1,4,4,5,4,4,4.2,5,3,4,4,4.0,4,3,3,3.3333333333333335,5,5,5,5,5.0,3,3,3,3,3,4,3.1666666666666665
Alarmy - Wecker und Schlaf,30,1,3,3,4,4,3,3.4,4,3,4,3,3.5,4,3,4,3.6666666666666665,4,3,4,3,3.5,2,3,2,2,2,2,2.1666666666666665
Sleep Cycle - Sleep Tracker,30,1,5,4,4,5,4,4.4,4,3,4,4,3.75,5,4,4,4.333333333333333,4,4,5,3,4.0,4,3,3,3,3,4,3.3333333333333335
ShutEye - Schlaftracker,30,1,5,4,4,5,4,4.4,4,3,4,4,3.75,5,4,4,4.333333333333333,4,4,5,3,4.0,4,3,3,3,3,4,3.3333333333333335
SnoreLab.schnarchen aufnehmen,30,1,5,4,4,5,4,4.4,4,3,4,4,3.75,5,4,4,4.333333333333333,4,4,5,3,4.0,4,3,3,3,3,4,3.3333333333333335
Prime Sleep Recorder,30,1,2,2,3,4,3,2.8,4,2,2,4,3.0,2,2,2,2.0,3,2,1,2,2.0,1,1,1,1,1,1,1.0
Sleepzy - Schlaftracker-Wecker,30,1,2,3,3,3,2,2.6,3,2,2,2,2.25,2,3,2,2.3333333333333335,3,4,3,2,3.0,2,2,2,3,3,2,2.3333333333333335
Sleep Talk Recorder,30,1,1,1,2,2,1,1.4,4,5,3,3,3.75,2,2,1,1.6666666666666667,2,1,3,1,1.75,1,1,1,1,1,1,1.0
Do I Snore or Grind ,30,1,3,3,3,3,3,3.0,4,3,4,3,3.5,2,3,2,2.3333333333333335,2,3,3,3,2.75,2,2,2,1,1,1,1.5
Dream Talk Recorder,30,1,1,1,2,2,1,1.4,4,5,3,3,3.75,2,2,2,2.0,1,2,3,1,1.75,1,1,1,1,1,1,1.0
Headspace: Meditation & Schlaf,30,1,4,5,5,5,5,4.8,5,3,4,5,4.25,5,5,5,5.0,5,5,4,4,4.5,4,4,4,4,4,4,4.0
"Fitness App-Gym Workout, Sport",30,1,3,4,4,4,4,3.8,4,3,3,2,3.0,3,3,3,3.0,4,4,5,3,4.0,3,4,3,3,3,3,3.1666666666666665
MyFitnessPal: Kalorien Tracker,30,1,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4,4,4.0,4,4,5,4,4.25,3,4,3,4,4,3,3.5
Lifesum: Kalorien Zähler,30,1,4,4,4,3,4,3.8,5,5,5,5,5.0,4,5,4,4.333333333333333,4,4,4,4,4.0,3,3,3,4,3,3,3.1666666666666665
Fddb - Kalorienzähler & Diät,30,1,3,2,3,3,2,2.6,4,3,3,3,3.25,2,3,3,2.6666666666666665,3,2,3,2,2.5,2,2,2,2,2,2,2.0
YAZIO: Kalorien Zähler & Diät,30,1,4,5,5,5,5,4.8,5,4,4,4,4.25,4,4,4,4.0,4,4,4,4,4.0,3,3,3,3,3,3,3.0
adidas Running: Lauf App,30,1,4,4,4,4,5,4.2,5,4,4,4,4.25,4,4,4,4.0,5,5,4,4,4.5,3,3,3,3,3,3,3.0
Nike Run Club: Laufcoach,30,1,3,4,4,4,5,4.0,5,5,4,4,4.5,4,4,4,4.0,4,4,4,4,4.0,3,3,3,3,3,3,3.0
StepsApp Schrittzähler,30,1,1,2,2,2,2,1.8,4,2,2,2,2.5,2,2,2,2.0,3,3,3,3,3.0,2,2,2,2,2,2,2.0
Asics Runkeeper Lauf-Tracker,30,1,3,3,4,3,3,3.2,4,4,3,3,3.5,3,3,3,3.0,4,4,4,5,4.25,3,3,3,3,3,3,3.0
WeightWatchers,30,1,3,4,4,4,5,4.0,4,4,4,4,4.0,5,5,5,5.0,4,4,4,3,3.75,4,3,4,4,3,3,3.5
Noom: Gesund Abnehmen,30,1,4,3,4,4,4,3.8,4,3,4,4,3.75,4,4,4,4.0,4,3,4,3,3.5,3,3,3,3,3,3,3.0
SIMPLE: dein Ernährungshelfer,30,1,3,3,5,5,4,4.0,4,2,4,5,3.75,4,4,4,4.0,5,4,4,4,4.25,3,3,3,3,3,3,3.0
Fastic Intervallfasten Tracker,30,1,3,3,4,5,4,3.8,4,2,3,4,3.25,3,3,3,3.0,4,4,4,4,4.0,3,3,3,3,3,3,3.0
Gymondo: Fitness & Workout App,30,1,4,3,4,4,3,3.6,4,3,3,3,3.25,4,3,3,3.3333333333333335,3,3,3,3,3.0,3,2,3,2,3,3,2.6666666666666665
Asana Rebel: Yoga und Fitness,30,1,3,4,4,4,5,4.0,4,4,4,4,4.0,4,4,4,4.0,4,4,5,4,4.25,3,3,3,2,3,3,2.8333333333333335
"Carb Manager-Keto Diät, Fasten",30,1,3,3,4,4,3,3.4,3,4,3,3,3.25,3,3,3,3.0,3,3,2,3,2.75,2,2,2,2,2,2,2.0
Foodvisor - Ernärung und Diät,30,1,3,4,4,4,4,3.8,4,3,3,3,3.25,3,3,3,3.0,3,2,3,3,2.75,3,3,2,2,3,2,2.5
Lose it! Kalorienzähler,30,1,2,2,3,2,2,2.2,4,2,2,2,2.5,2,2,1,1.6666666666666667,3,3,3,3,3.0,1,2,1,1,2,2,1.5
Sports Tracker for All Sports,30,1,3,2,3,3,3,2.8,3,3,3,3,3.0,2,3,2,2.3333333333333335,3,3,2,3,2.75,2,2,2,2,2,2,2.0
Strava: Laufen & Radfahren,30,1,4,4,4,3,3,3.6,4,4,4,4,4.0,3,3,3,3.0,4,4,3,4,3.75,3,2,3,3,3,3,2.8333333333333335
Seven - 7 Minuten Training,30,1,3,3,4,3,4,3.4,3,3,3,3,3.0,3,3,2,2.6666666666666665,3,3,3,3,3.0,3,3,2,3,3,2,2.6666666666666665
Fitify: Workout zu Hause,30,1,3,3,3,3,3,3.0,3,4,4,4,3.75,3,3,3,3.0,4,4,4,3,3.75,2,2,2,2,2,2,2.0
Hevy - Gym & Trainingstagebuch,30,1,4,3,4,4,4,3.8,3,3,3,3,3.0,3,3,3,3.0,3,3,3,3,3.0,2,3,2,2,2,3,2.3333333333333335
Schrittzähler++,30,1,4,4,4,3,4,3.8,4,3,4,4,3.75,4,4,4,4.0,3,3,3,3,3.0,3,3,3,3,3,3,3.0
Daylio Tagebuch & Gewohnheiten,30,1,4,3,3,3,3,3.2,3,4,4,3,3.5,4,3,3,3.3333333333333335,3,4,4,3,3.5,3,2,2,3,3,2,2.5
Moodflow: Better mental health,30,1,3,3,4,3,4,3.4,3,2,3,3,2.75,3,4,3,3.3333333333333335,3,4,4,3,3.5,1,1,1,1,1,1,1.0
Pixels Journaling: Mood Tracker,30,1,4,4,4,3,3,3.6,4,2,2,3,2.75,3,3,3,3.0,2,3,4,3,3.0,3,4,3,3,3,3,3.1666666666666665
Mindshine: Mental Health Coach,30,1,4,4,4,4,4,4.0,3,3,3,3,3.0,4,4,4,4.0,3,3,3,3,3.0,3,3,2,3,3,3,2.8333333333333335
MyTherapy Tabletten Erinnerung,30,1,2,3,2,3,3,2.6,3,4,4,4,3.75,4,4,4,4.0,3,4,3,3,3.25,4,4,4,3,3,3,3.5
mediteo: Tabletten Erinnerung,30,1,3,4,4,4,3,3.6,4,4,4,4,4.0,3,4,3,3.3333333333333335,4,4,4,4,4.0,3,4,3,3,3,3,3.1666666666666665
TOM - Tabletten Erinnerung,30,1,3,4,3,3,3,3.2,3,4,4,3,3.5,3,3,3,3.0,3,2,3,3,2.75,2,2,2,2,2,2,2.0
Max - Pillen Erinnerung,30,1,4,4,4,3,3,3.6,2,3,3,2,2.5,3,2,3,2.6666666666666665,2,3,3,3,2.75,2,3,2,2,3,3,2.5
